FOR_NFOR,TENEMENT_T,CADT_No,Built_up_area,Corn_field,Dipterocarp_forest__closed,Dipterocarp_forest__open,Fallow,Fishpond,Grassland,Mangrove_forest,Marsh,Open_barren_ground,Other_annual_crop,Palm,Perennial_fruit_crop,Plantation_forest__closed,Plantation_forest__open,Rice_paddy,Shrub_brush,Swamp_forest__closed,Swamp_forest__open,Water_body
Deforested in 1st half HRP,EXPA,92,1.315378563,5.62E-03,66.85421146,25.68321998,9.85E-03,0,3.022415425,0,0,4.35E-02,0,4.22E-02,1.248989746,28.38190259,10.91487407,8.12E-02,29.79238698,0,0,0.205611265
Deforested in 1st half HRP,MPSA,92,0.168775497,0,64.63156154,55.20442457,5.23E-03,0,1.087828029,0,0,0.291442401,0,6.59E-02,2.506110813,37.01129283,12.649752,0.100359594,55.33497614,1.15E-02,0,0.712045925
Deforested in 2nd half HRP,APSA,92,0,0,3.090713643,0.152977769,0,0,5.83E-02,0,0,0,0,0,0,0,0,0,1.272262988,0,0,0
Deforested in 2nd half HRP,EP,92,0.301217072,0,40.39708865,12.28830231,0,0,0.835248828,0,0,0,0,9.85E-03,0.245648936,3.224623794,3.638616356,0,19.76063936,0,0,2.86E-02
Deforested in 2nd half HRP,EXPA,92,0.261502011,0,44.5125052,4.725666258,9.40E-03,0,0.174662269,0,0,2.61E-02,0,9.85E-03,0.265242536,4.382902043,5.133894877,0,7.642301665,0,0,0.222470863
Deforested in 2nd half HRP,MPSA,92,3.92E-02,0,8.071570935,7.808719996,0,0,2.07E-02,0,0,0.114466476,0,0,0.512431502,3.627410039,2.961184197,1.72E-02,12.64133737,0,0,0.149825333
Deforested in 1st half HRP,EXPA,93,3.176796178,2.88E-02,395.2170148,151.0499461,0.879848744,0,13.73220076,0,0,5.212198538,0,1.554883122,7.451539438,163.2816226,99.80587469,0.270451133,261.1099276,0,0,38.35114378
Deforested in 2nd half HRP,EXPA,93,0.591897958,0,161.6902142,21.67922197,0.280808138,0,6.327226735,0,0,0.193268819,0,3.94E-02,1.34755594,20.09556438,22.74121703,0,73.2309647,0,0,4.251332953
Deforested in 1st half HRP,EXPA,114,1.053515361,8.23E-02,32.96265664,8.235178574,0,0,3.51E-02,5.12E-03,0,0.102942909,0,0.684647784,0.453085598,18.83959956,5.214407564,0.299333408,8.155795973,7.16E-02,3.14E-04,1.740455282
Deforested in 2nd half HRP,EXPA,114,0.118284062,3.04E-04,7.223539442,2.590720842,0,0,0.1553528,3.49E-02,0,6.24E-02,0,0.165461717,1.26E-02,2.174450662,0.74341754,3.76E-02,5.467656157,0,0,0.162516253
Deforested in 1st half HRP,EXPA,115,5.700109606,0,45.20612802,12.6806002,0.100024558,0,0.687978586,2.83E-02,0,2.255706176,0,0.255560652,0.560706746,12.83510613,5.385843662,0.159399344,30.2581724,0,0,10.72725934
Deforested in 2nd half HRP,EXPA,115,0.985501698,0,33.03357996,3.244554574,9.57E-02,0,0.417224887,2.65E-02,0,0.227104922,0,0.134572624,0.634343722,6.204974133,3.692380929,0.112686138,11.31233278,0,0,3.525870043
Deforested in 1st half HRP,EXPA,116,21.9385175,1.294001564,245.6790482,61.31697155,0.29244843,0,4.376173435,0.141969822,0.345061668,9.662768352,0,10.01268514,9.463097878,191.6177111,106.1706991,0.887900069,80.71705416,2.624418661,1.859400535,14.97906352
Deforested in 1st half HRP,MPSA,116,0.182250514,0,31.73678378,2.75465949,0,0,0.535588015,0,0,2.11E-02,0,0,0,0.110093437,0.432931852,0,5.287898117,0,0,1.07E-02
Deforested in 2nd half HRP,EXPA,116,12.07897369,1.96E-02,141.7700841,57.34868641,0.267599085,0,6.454245827,9.85E-03,0,4.156423296,0,0.895144811,17.58320016,68.02935883,83.75492051,0.129916052,103.7596871,0.530726507,0.340215429,3.059759839
Deforested in 2nd half HRP,MPSA,116,0.309408904,0,7.628273838,1.944982045,0,0,1.64E-03,0,0,0,0,0,0,0,5.12E-02,0,1.454790348,0,0,0
